,a,b
27,6.208224933,-1.88E-08
28,4.394495915,-3.62E-08
29,4.619610257,-3.55E-08
30,5.20543372,-3.15E-08
31,5.765106518,-3.11E-08
32,10.37096153,4.36E-08
33,7.365397253,1.38E-09
34,9.02626735,2.76E-08
35,7.110692485,-1.39E-09
36,7.088735413,4.10E-09
37,8.28495303,1.05E-08
38,3.758887368,-4.90E-08
39,5.563566495,-2.36E-08
40,8.259470361,-3.65E-09
41,7.500403162,-3.66E-09
42,6.107764916,-1.74E-08
43,10.55079297,6.90E-09
44,5.428416971,-3.18E-08
45,5.275200422,-2.83E-08
46,7.240182416,1.08E-08
47,12.29069247,1.69E-08
48,9.050935142,-1.26E-09
49,9.086040898,-4.66E-09
50,8.683497011,9.04E-09
51,3.698149764,-6.00E-08
52,5.695659079,-2.70E-08
53,9.877558016,1.63E-08
54,9.192691953,9.21E-09
55,6.2869681,-1.65E-08
56,7.847485732,-5.42E-09
57,9.632795909,2.98E-08
58,7.746765758,-7.58E-09
59,6.935505313,-1.31E-08
60,6.442734576,-2.34E-08
61,5.419912917,-2.28E-08
62,7.200647584,-6.57E-09
63,3.320795813,-5.68E-08
64,8.701090877,1.23E-08
65,8.162851231,2.71E-09
66,11.3184166,1.77E-08
67,3.921643401,-5.36E-08
68,7.986859703,1.09E-08
69,9.024580855,-3.82E-09
70,8.785817925,-1.21E-08
71,3.612596228,-4.89E-08
72,6.770369035,-2.77E-08
73,13.06247641,3.12E-08
74,10.32504663,6.44E-09
75,6.580164812,5.22E-10
76,4.621262461,-3.32E-08
77,11.30544398,4.86E-08
78,12.22536162,3.42E-08
79,9.216883555,8.40E-09
80,11.11120234,1.82E-08
81,8.025469997,-6.43E-09
82,5.851568131,-1.24E-08
83,4.001187858,-4.79E-08
84,4.405151229,-3.95E-08
85,4.919883732,-3.28E-08
86,7.223104134,-1.11E-08
87,7.064902263,5.34E-09
88,9.586843419,6.41E-09
89,9.51457406,7.10E-09
90,3.488055908,-5.57E-08
91,5.547156678,-2.47E-08
92,7.141430656,-6.20E-09
93,2.81678105,-5.47E-08
94,4.143231827,-3.83E-08
95,9.210648538,6.52E-09
96,7.080248543,-1.34E-08
97,5.25695601,-2.57E-08
98,5.531844815,-2.52E-08
99,8.80415144,-4.09E-09
100,8.038136121,-6.43E-09
101,6.804350687,-1.18E-08
102,9.604007891,1.40E-08
103,8.628017125,7.58E-09
104,7.116193188,-1.07E-08
105,6.522106008,-8.94E-09
106,15.01217294,9.04E-08
107,4.57621796,-3.35E-08
108,11.57312283,9.69E-09
109,10.04463423,2.22E-08
110,4.663296723,-2.13E-08
111,15.60608474,5.72E-08
112,7.610999747,-5.13E-09
113,10.28956213,1.45E-08
114,4.863307104,-1.35E-08
115,8.159513064,4.09E-10
116,5.91488754,-1.30E-08
117,6.406568086,-6.15E-09
118,6.367663197,-1.60E-08
119,4.963495972,-3.31E-08
120,9.488249823,1.56E-08
121,4.471210777,-4.58E-08
122,7.548403234,-1.67E-08
123,7.751221784,-7.92E-09
124,8.910158474,-2.76E-09
125,9.721357669,3.10E-08
126,7.018282836,-2.43E-08
127,9.221543815,5.44E-09
128,4.159042371,-4.85E-08
129,9.844692653,1.83E-08
130,6.245726685,-2.55E-08
131,6.104418194,-1.49E-08
132,2.694063858,-7.38E-08
133,8.083889453,-1.19E-08
134,9.137336862,5.64E-09
135,5.326321865,-1.86E-08
136,6.642415419,-5.25E-09
137,5.58270842,-1.49E-08
138,7.188397953,-1.51E-08
139,4.640448837,-3.04E-08
140,4.919341382,-4.05E-08
141,7.438026204,-1.10E-08
142,9.097355947,8.63E-09
143,5.129318861,-2.25E-08
144,10.83351248,1.62E-08
145,5.074079298,-2.83E-08
146,7.744560944,2.51E-08
147,6.479043504,-1.41E-08
148,5.655140658,-8.54E-09
149,7.440238202,-6.11E-09
150,7.888359541,-3.31E-09
151,6.025811626,5.16E-09
152,5.537547257,-2.00E-08
153,8.263234697,2.62E-08
154,9.412028302,1.03E-08
155,8.165690754,-1.53E-09
156,8.914753611,1.31E-08
157,5.730570074,-2.99E-08
158,5.206605025,-3.12E-08
